[00:00] 最近Codex-APP的能力越來越全面
[00:02] 變成了Codex4大產品型態裡面最強的一個
[00:06] Codex比起Codecode
[00:08] 俄度更高,功能更全上手更快
[00:10] 免費贓戶也能用
[00:12] 而且不會出現線速、風號、降致等問題
[00:15] 用過的小火扮門直呼真相
[00:17] 本期視頻帶來一個Codex-APP的完整較成
[00:21] 主要分為以下12個張結
[00:22] 每個張結裡面都會穿差一些重要的支持
[00:25] 對Codex的全部功能進行細緻講解
[00:28] 好废话不多说,我们直接开始
[00:31] 在安装使用Codex APP之前需要进行三个准备工作
[00:35] 也就是需要先把Git,Note's S,还有VScode安装一下
[00:40] 在我上期视频,从零开始用国内网络跑通一切AA正在里面
[00:45] 有详细的操作部主
[00:46] 不熟悉的朋友们可以参考那一期视频
[00:49] 接下来,我们来到Codex官网
[00:51] Codex支持Windows跟Mac两大操作系统
[00:53] 官网会根据你的操作系统,自动提供对应的安装包
[00:57] 本期视频我主要使用温漏死来进行演示
[00:59] 温漏死跟麦克电脑的功能基本是一致的
[01:02] 唯一一欠缺的功能是烤酪它又死
[01:05] 也就是自动操作电脑的能力
[01:07] 等需要演示这部分的时候我会切换到麦克电脑进行演示
[01:11] 然后我们一路点击下一步完成安装
[01:13] 接下来我们把Codex APP起动起来
[01:16] 选择CodeGBT账户完成登录
[01:18] 现在CBT的免费账户也能使用Codex了
[01:22] 不过俄杜比较低
[01:23] 第一次进入软件要选一下
[01:25] 希望Kodex為你處理的工作
[01:27] Kodex會根據你的選擇
[01:28] 預裝一些內置的插件和Skills
[01:31] 當然進入軟件以後
[01:32] 我們還可以按虛安裝這些插件
[01:34] 然後選擇主要的使用場景
[01:36] 是邊承還是日常工作
[01:38] 這些都可以後續在設置裡面進行修改
[01:41] 接下來點擊設置殺和女玩成殺和的出實話
[01:44] 關於殺和這部分的內容
[01:46] 我們下一個張杰再來介紹
[01:49] 我們點擊右上角旦有顯示側邊藍
[01:51] 我们看到CodeX-P-P是非常经典的三栏部局
[01:55] 左侧是任务列表中间是对话窗口
[01:58] 右侧是多功能区域
[01:59] 我们先创建两个项目文件假扰展示一下它的基础使用
[02:03] 这里我在周面新建了两个文件假扰
[02:05] 作为两个项目文件假扰
[02:07] 然后我们来到CodeX点击进入项目工作
[02:10] 使用线有文件假
[02:11] 我们先选择第一个文件假
[02:13] 这里我让它做一个HTML单约面的重武器护电的网页
[02:17] 开始
[02:17] 在左側边蓝里面增加了一个项目
[02:19] 项目的名称就是文件夹的名称
[02:22] 里面展示了正在运行的任务
[02:23] 接下来我们点击左上角的新对话按钮
[02:26] 温度次上的快节件是抗扯下按
[02:28] 麦克系统的快节件是抗曼的夹按
[02:31] 来开起一个新的对话
[02:32] 我们可以选择新对话属于哪个项目
[02:35] 这里我准备开起一个新的项目
[02:37] 把第二个文件夹上也添加进来
[02:38] 点击添加新项目
[02:40] 然后选择我们的第二个文件夹
[02:41] 这里输入我第二个项目的需求
[02:44] 用Rirecteck 狂价做一个网业版代弹事项的提醒工具
[02:47] 回车开始执行
[02:49] 在两个项目并行工作的同时
[02:51] 我们还可以开启更多的工作对话
[02:53] 比如这里我想训问Codex 一个技术问题
[02:56] 我们把主标指向第二个项目点击小按钮
[02:59] 在项目里面开启心的对话
[03:01] 这里我训问Codex 而Rirecteck 狂价是什么回车
[03:04] 这里看到我们开启了3个任务并行执行
[03:07] 有两个任务属于项目1 一个任务属于项目2
[03:10] 正在执行的任务上面都有一个赚圈的小图标
[03:13] 表示AA正在工作
[03:14] 我们耐心等待会
[03:16] 隐天
[03:17] 过了一会状态就不一样了
[03:18] 有一个任务上面显示一个绿色标签
[03:21] 表示等待批准
[03:22] 有一个任务上面出现了一个蓝色小点
[03:24] 表示已经直心完毕了
[03:26] 还有一个任务继续赚全
[03:28] 我们来到这个等待批准的任务里面
[03:30] 发现Codex需要联网下在Wet React 项目的模板
[03:33] 正在申请全信
[03:35] 我们点击是批准这个任务就继续直行了
[03:37] 又过了一会
[03:38] 三个任务上面都标记了蓝色的小缘点
[03:41] 表示三个任务都直心完毕了
[03:43] Codex任務列表非常簡潔美觀好用
[03:46] 可以很方便的觀察任務狀態
[03:48] 可以並行開啟多個工作任務
[03:50] 還能高效地從多個任務裡面自由的切換
[03:53] 我們再來看一下左側邊藍任務列表的其他功能
[03:56] 新對話按鈕用來開啟新的對話
[03:58] 在下面可以選擇對應的項目
[04:00] 也可以選擇不使用任何的項目
[04:02] 純粹的鹹流
[04:03] 這種不屬於任何項目的對話
[04:05] 都會被收入到任務列表的最下面
[04:07] 也就是對話這領藍裡面
[04:09] 左側邊藍第二個按鈕
[04:11] 快接見是坑撮加劑
[04:12] 麥克電腦的快捷件是卡曼的加劑
[04:15] 可以搜索驚奇的對話歷史
[04:17] 不過我是類似
[04:18] 這個功能只能搜索到對話的標題
[04:20] 他無法搜索到對話裡面的內容
[04:22] 這裏補充一下
[04:23] 每個對話標題都是AA根據對話內容
[04:26] 自動戰要生成的
[04:27] 我們也可以選擇某個對話雙擊
[04:30] 對他進行一個重命名
[04:31] 如果我們不再需要某個對話了
[04:33] 可以點擊這個歸當對話的小安紐
[04:35] 確認
[04:36] 然後我們的對話就在左側邊攬消失了
[04:39] 在設置
[04:39] 以歸當對話裡面可以找到我們山處的對話
[04:42] 點擊取消歸盜就可以把它換原回來
[04:45] 左側邊來還有兩個按鈕
[04:47] 插件與自動畫
[04:48] 這個等我們在後面的上期再來看
[04:50] 接下來我們來看一下中間的對話页面
[04:53] 這裡最顯眼的功能就是全線控制
[04:55] Codex全線控制全部是圍繞殺箱來展開的
[04:59] 這點跟Codecode有本質上的不同
[05:01] Codecode的殺箱功能需要手動開啟
[05:04] Codecode的殺箱更像是一層可以額外開啟的保護
[05:07] 而Codex的殺箱
[05:09] 它是整個全線系統運行的地擊
[05:11] Codex会把当前的项目文件讲
[05:13] 作为一个杀箱进行管理
[05:15] 在默认全线下面
[05:16] Codex就读取修改杀箱内
[05:18] 所有文件的全线
[05:20] 在默认模式下
[05:21] Codex APPP可以直接修改杀箱内
[05:23] 也就是项目文件较的所有文件
[05:26] 它并不会一个个的跑来问你
[05:28] 我觉得这点非常的方便
[05:29] 也是符合正常的使用习惯的
[05:31] 当然我们也可以通过设置
[05:33] 改成主个文件修改都需要審批
[05:36] 这个在视频后半段
[05:37] 高级设置这个张结
[05:39] 我们再来讲
[05:39] Codex刷箱有两个默认限制
[05:42] 第一点是Codex不能修改刷箱外的文件
[05:44] 第二点是Codex刷箱是禁止连网的
[05:47] 这两点用性限制
[05:49] 它并不是靠模型自觉尊手
[05:51] 而是Codex使用操作系统底层功能实现的
[05:54] 不同操作系统的实现机制是不一样的
[05:57] 比如MacOS使用的是系统内置的Cit-Bio 3的Box机制
[06:01] Codex刷箱功能是前镇爆火的Harny-C ingenary概念的一个
[06:06] 典型的工程实现
[06:07] 它用操作系统极别的机制
[06:09] 把AA的能力约束在一个可空的范围之内
[06:12] 这也很想像的体现了哈内似
[06:14] 这个资的原始含意也就是马巨
[06:16] AA就像一品能力很强的马
[06:18] 而杀相权限
[06:20] 省极机制这些就是淘在它身上的马巨
[06:23] 如果扣代子需要修改杀相外文件
[06:25] 或者需要连往
[06:26] 可以像用户申请权限
[06:28] 这个操作叫做Skilater
[06:30] 也就是体权操作
[06:31] 在默认情况下
[06:32] 体权操作都是需要人工室和同意的
[06:35] Codex為我們提供了第二個黨位,也就是自動審查
[06:39] 啟動了自動審查以後,Codex會自動調用一個小模型
[06:43] 對提全操作進行安全性審查,如果發現是低風險的操作
[06:47] 就會直接放心,只有高風險的操作才會出發人工審查
[06:52] 這也是我最推薦的模式,自動審查時的絕大部分操作不需要人工審批
[06:57] 在獲取了較高安全性的同時,還擊大提升了使用的便利度
[07:01] 所以一般情况下在全线管理这里
[07:03] 我都推荐开启第二党也就是自动审查
[07:06] Codex还有第三党完全访问全线
[07:09] 开起了这个以后
[07:10] Codex完全无事刷箱的限制
[07:12] 可以在电脑上执行一切的操作
[07:14] 不过我们尝试开启的时候
[07:16] 这里出现了很醒目的风险提示
[07:18] 其实我们要紧甚是用
[07:20] 在全线控制的右边有一个圆圈
[07:23] 展示的是当前上下文使用情况
[07:25] 这里翻译的不太好
[07:26] 准确的翻译应该是上下文使用量信息
[07:29] 顯示的是這個對話裡的歷史對話內容
[07:32] 佔用了多少模型上下文空間
[07:34] 當上下文超過限制的時候
[07:36] Codex會自動對對話歷史進行壓縮
[07:39] 從而釋放出更多的上下文空間
[07:41] 我們也可以輸入邪港選擇壓縮選項
[07:44] 手動觸發一次上下文壓縮
[07:46] 壓縮完成以後
[07:47] Codex會把之前對話的一些不重要的內容排除掉
[07:50] 可以有效提高A的專注力並且降低偷肯消耗
[07:54] 不過在AAAA的領域有一個通用經驗是
[07:57] 輕空好於壓縮
[07:58] 因为过多的历史会化会干扰A的注意力
[08:01] 当我们让A直行玩一个任务以后
[08:04] 最好是开一个新的对话
[08:05] 轻空上下文
[08:07] 这样有注意AA把注意力全部集中到新的任务上面来
[08:10] 从而提高任务的直行效果
[08:12] 在上下文窗口的右边是模型选择
[08:15] 可以根据任务的负达程度选择模型的思考强度
[08:19] 下面可以切换模型
[08:20] 这里一般我们就选择最新的模型
[08:22] 比如现在是倾的机梵5D5
[08:24] 下面还有一个速度选项
[08:26] 可以选择标准还有快速
[08:28] 在快速模式下會提升50%的AAT里速度
[08:32] 但是快速模式會消耗兩倍的套餐用量
[08:34] 如果你的任務很急
[08:36] 但是套餐的餘量還有很多
[08:38] 可以選擇開啟
[08:39] 說到套餐餘量
[08:40] 我們可以在左下角的設置
[08:42] 勝於俄渡裡面找到你現在的套餐餘量
[08:44] 這裡有兩個線額分別是無小實現額
[08:47] 還有周線額
[08:48] 這兩個線額任意一個到達上線
[08:50] Codex都不能繼續使用了
[08:52] 兩個線額都有對應的重置時間
[08:55] 時間到裡後
[08:55] 俄渡會重置成100%
[08:57] 右邊還有一個雲輸入功能
[08:59] 可以讓我們跟AA的交互從打字變成口噴
[09:02] 非常的好玩
[09:04] Codex內置了AA化圖功能
[09:06] 而且它使用的是當今最強的AA生圖模型
[09:09] GBT音妹之兔
[09:10] 這是剛才我讓Codex為我們生成的
[09:13] 重複起乎的網站
[09:14] 我們看到它已經為我們配了一些圖片
[09:17] 這裡我看了一下
[09:17] 這些圖片其實都是網絡上的免費素材
[09:20] 這流量的配圖非常的不合適
[09:22] 首先這裡的店內環境展示的都是一些重複圖片
[09:26] 它並不是一個真正的重複起乎電的環境
[09:29] 第二點是文件性
[09:30] 歇著這裏話的地圖也太粗糙簡漏了
[09:33] 我們就針對這兩個問題讓Codex幫我們來修改一下
[09:36] 我們來到Codex 新開一個對話
[09:38] 項目選擇重複起乎電那個
[09:40] 我讓Codex 調用AA會圖功能
[09:43] 會置三個電內環境的輪播圖
[09:45] 這三個圖應該分別展示電內的不同區域
[09:48] 雷電
[09:49] 我們看到Codex 為我們生成了三張圖片
[09:51] 基本都保持了電內裝修分隔的一致性
[09:54] 然后在网页这边也替换成了三张图片的轮波图
[09:58] 非常的不错
[09:59] 既然来我们要改的是门电信息这里的地图
[10:02] 太简陋了
[10:03] 我们回到Codex在重蜂电应用这里新开一个对话
[10:07] 输入我的指令
[10:08] 我们的电在闪息北路1620号
[10:10] 就是地图让标记的点
[10:12] 你按我发你的位置
[10:14] 用可爱清新的重蜂格的地图
[10:16] 把我们的电标记上
[10:18] 然后修改网页里的门电位置信息
[10:20] 这里我来到地图
[10:22] 我结个图,然后把我们的电用箭头标记上
[10:25] 接下来我们直接抗创为Mek系统式抗判的加薇
[10:28] 把阶图沾贴过来开始
[10:30] 在Codex直行过程中我随时更宗进度
[10:33] 这里我发现了一个问题
[10:35] 就是它画的这个地图是用SV技生成的效果很差
[10:38] 我原本是想让它掉用内置的A.A.生图模型来画
[10:42] 记着这个机会我要介绍Codex一个强大功能
[10:45] 它的英文名叫做Steer
[10:47] 中文翻译过来是引导
[10:49] 这个词的英文原文的意思是打方向盘
[10:51] 到我们发现AI在执行过程中理解错了我们的意思
[10:55] 就不应该让它继续执行了
[10:57] 这时候应该即时接管方向盘
[10:59] 人工进行引导干预
[11:01] 这里我结个图发送给Kodak此说
[11:03] 你这图不行
[11:04] 应该调用AIA会图能力
[11:06] 在默认模式下
[11:07] 这个新的指令进入了指令队列排队
[11:10] 就要AIA把上一轮全部执行完才能执行我们新书的指令
[11:13] 我们可以点击这里的引导按钮
[11:15] 英文版叫做Steer
[11:17] 中途接管方向盤引导干预AA的执行
[11:20] 我们看到Codex这里显示引引导对话
[11:23] 然后回复我说问不对
[11:25] 我立即改用A.S.途重细生成一张
[11:27] 我们使用Codex的S.S.D.功能
[11:29] 在运行中途成功就正了模型的运行方向
[11:32] 在Codex的设置长规设置里面
[11:35] 有一个根进行为
[11:36] 这里可以设置在直行过程中我们输入的指令
[11:39] 是在后面排队还是直接进入引导
[11:42] 这里我推荐还是默认选择排队
[11:44] 如果需要引导的话
[11:45] 我们直接点击那个引导按钮
[11:47] 或者按快节键 烹饭 烹饭回车
[11:49] 我们看到Codex为我们重新生成了一张图片
[11:52] 并且把它替换到了网页里面
[11:54] 标注出了我们电的位置 效果非常的棒
[11:57] 在对话窗口这里有一个家号
[12:00] 里面有三个功能
[12:01] 首先是天家照片和文件
[12:03] 我们可以用照片或者文件给AA补充上下文信息
[12:06] 或者可以向刚才一样
[12:08] 通过副日山铁直接把照片或者文件
[12:11] 沾贴进对话窗口
[12:12] 下面是插件 目前预装了四个插件
[12:15] 分別對應辦公三大件
[12:17] 還有流染氣資東話
[12:18] 我們主要看這裏的計畫模式
[12:20] 開起來計畫以後
[12:21] Codex就不會立即上手幹活
[12:24] 而是先為我們輸出一份完整的工作計畫
[12:26] 跟我們進行了確認以後再幹活
[12:29] 對於所有的負責任務
[12:30] 建議都先開啟計畫模式
[12:32] 確保你能跟AA對其科例度
[12:34] 讓AA能夠精準理解我們的意圖
[12:37] 我們在Codex裡面打開計畫模式
[12:39] 輸入我們的需求
[12:40] 把這個項目改造成Next的這S框架開始
[12:44] 在计划模式里面,Codex会很轻向于使用这种问题卡片的形式
[12:48] 跟用户进行沟通
[12:50] 这里他选用我希望使用拿种项目形态
[12:53] 我选择APP 如特加TS
[12:55] 然后样是千以希望怎么处理
[12:57] 这里我选择改胎问的
[12:59] 千一完成要不要同时起动本地开发服务机验证
[13:02] 这里我选择购建家起动
[13:04] Codex为我们生成了一份完整的计划
[13:07] 我仔细越独立一遍
[13:08] 没有发现问题
[13:09] 这里我们点击是实施自己话
[13:12] 在马边写完成以后,扣带此可以起动它内置的流染器进行自动化的测试
[13:17] 这样任务就完成了开发服务企业起动起来了
[13:20] 在右侧的多功能窗口扣带此自动打开了流染器
[13:23] 我们可以点击这里的展开面板按钮
[13:25] 看一下项目的完成状态
[13:27] 我们看到这次架构签以非常成功
[13:29] 一面上所有的元素都完整的保留了
[13:32] 非常的不错
[13:33] 如果对某个部分不满意,我们可以点击这里的批注按钮
[13:37] 然后选中一个元素
[13:39] 在这里可以添加评论
[13:40] 比如这里我说为什么这个星星是空心的
[13:43] 然后在下面点击发送
[13:44] 让AEBAM我们修改一下
[13:46] 在下面也可以实时看到它的修改过程
[13:49] 我们刷新一下一面
[13:50] 这个星星就被修改成了实行的
[13:52] 这样我们就通过Plan模式配合Codex内置流览器
[13:56] 成功完成了项目架过的千一
[13:58] 还顺手修改了一个小bug
[14:01] CodexAPP并不是传统的IDE
[14:03] 它并不提供完成的再马边击功能
[14:06] 我们可以在右上角点击切换文件数
[14:09] 这里虽然可以查看待马,但是没法直接编辑,我们只能点击某黄带马来写批诸
[14:15] 并不能直接修改带马,我们可以借助第三方的 IDE来修改带马
[14:19] 在进行带马管理之前,我们需要先把项目出示化成一个GET工程,这里我们先开启一个对话
[14:26] 书入提示词,把项目出示化成一个GET工程,注意排除掉不需要的文件
[14:31] Codex先为我们创建了GET一个闹文件,把一些不需要提交的内容排除出去
[14:36] Codex幫我們把項目出使化成了Gatex3庫
[14:39] 出使化成Gatex3庫以後又上角有多了很多按鈕
[14:43] 這裡有一個VScode按鈕我們點擊一下
[14:45] 我們就可以快節的使用VScode來查看和修改代碼
[14:49] 除了使用VScode在這個夏拉列表裡面還可以使用其他的IDE來打開項目
[14:54] 如果你的電腦上裝過這些IDE就可以在這裡觀念出來
[14:58] 我們也可以在設置常規設置裡面選擇默認打開的IDE
[15:02] 我还可以要求AA把代码帮我提交到KTAPP上面
[15:06] KTAPP需要我现在给它不上面
[15:08] 为它撞进一个候库
[15:09] 这里我来到KTAPP点击这个宁案扭
[15:12] 候库的名字还叫Pidicare
[15:13] 点击创建
[15:14] 撞进出来以后把这个地址负质一下
[15:17] 我们回到KTAPP扔给它
[15:18] 成功帮我们把代码推送到了KTAPP上面
[15:21] 我们点击这个练节
[15:22] 看到我们的代码已经被奋到了
[15:24] KTAPP的网站上面
[15:26] 我们可以使用对话的方式
[15:27] 进行一切给它与KTAPP操作
[15:30] 这都属于编成了基础之事
[15:32] 本期视频我就不展开讲了
[15:33] 本期视频我主要讲两个境界技巧
[15:36] 第一个是使用Git对开发过程进行回馆
[15:39] 第二个技巧是Git walk free
[15:41] 我们先看第一个回馆
[15:42] 这里我先开一个对话
[15:44] 我们打开側边蓝
[15:45] 点击加号流览器
[15:46] 输入我们项目本地开发的地址
[15:49] 这样进入流览器
[15:50] 我们还是在这里面进行一些批主
[15:52] 我让Kodai此在这里天价一个
[15:54] 期望到电时间的功能
[15:56] 直接点击抗穿加回车发送
[15:58] Kodai此位我们天价了
[15:59] 期望到电时间制的自断
[16:01] 当AA完成一个功能的开发以后我们就使用Gitra把的贝富保存一下
[16:05] 这里点击提交 添写一个提交消息 点击继续
[16:08] 这样最新的戴马改动就以Gitra的方式保存下来了
[16:12] 接下来我让AA把期望到点时间放到连细人的上面 开始
[16:16] Codex为我们完成了修改
[16:18] 我们还是从内置的流览器看一下效果
[16:20] 这个字段跑到了最上面
[16:22] 不过这么一改 我觉得更难看了
[16:24] 我后悔了 我觉得还是把它放到原来的位置比较好
[16:27] 这里我想做的是把这次的对话
[16:29] 包括这次的代码改动全部回滚掉
[16:32] 最好是当作无事发生
[16:34] 这里我们先借助Codex的分差功能
[16:37] 英文是贤可
[16:38] 我们先把对话回滚掉
[16:39] 我们找到上一次对话节尾的位置
[16:42] 点接这个分差按钮
[16:43] 选择派升到本地
[16:44] 我们看到Codex的分差功能
[16:46] 就是在我点接的这个位置
[16:48] 把对话负质的一份
[16:50] 这样负质出来的心对话
[16:51] 就已经替除掉了
[16:52] 我们刚才想删除的部分了
[16:54] 不过分差功能只能回退对话历史
[16:57] 它不能同步回退代码
[16:58] 所以这里我们要做的是把代码一同回退掉
[17:01] 我们可以在BSCLE的里面
[17:03] 点击这个Sauce抗戳按钮
[17:04] 查看所有的GET提交
[17:06] 这里我需要把代码回退到
[17:08] 生成期望到电时间的这个状态上
[17:11] 我们点击右键点击这个COPC commitor
[17:13] 它是这样我们就把这次提交的ID付出下来了
[17:16] 我们回到Codex
[17:18] 先让AEA把代码回退到这个状态
[17:20] 后面就是我们刚才付质的提交ID
[17:22] 我们看到代码回退成功了
[17:24] 在流染器里可以看到
[17:26] 这个期望到电时间又变回了原来的位置
[17:29] 这我们就使用了Codex对话分唱功能
[17:32] 加上Git操作成功的把这一次不需要的改动
[17:35] 从代码层面和对话历史层面进行了完全的回滚
[17:39] 接下来我们来看下一个功能就是Git walkthrough
[17:42] walkthrough的名字听起来比较火人
[17:44] 其实它本身上就是用Git的充电一个新的分支
[17:48] 然后把这个新分支的代码完整的复制到一个新的文件夾里面
[17:52] 这个新文件夾上就是一个 walkthrough
[17:54] 主文件假设分支文件假设可以并行工作
[17:56] 我们可以在两个文件假里面
[17:58] 各自修改代码互相不干扰
[18:00] 我们可以基于主干創建多个分支
[18:02] 他们在底层通过技测关联在一起
[18:05] 分支文件假的改动
[18:06] 所以时都能轻松和并回主干
[18:09] 找到我们的项目
[18:10] 右键创建永久工作数
[18:12] 这里几个名字
[18:13] 我想让第一个工作数
[18:14] 专注优化客户评价这个部分
[18:17] 我给他加个后注叫Customer rating
[18:19] 我们看到Codact 死把整个项目
[18:21] 复制到了一个单独的文件假里面
[18:23] 他跟主干已经不是同一个文件假了
[18:25] 我们在分支里面做的操作不会影响到主干
[18:28] 这里我们再见一个工作数
[18:30] 第二工作数主要用来复得优化下面的门电信息
[18:33] 还有这里的地图
[18:35] 我们给第二个数也起个名字
[18:36] 这样我们就拥有了两个工作数分支
[18:39] 他们都未与不同的文件假下面
[18:41] 所以他们之间的并行工作不会影响到主干
[18:44] 这里我们来测水一下
[18:45] 我们先打开第一个分支
[18:47] 新对话
[18:47] 书我们的需求
[18:48] 优化一下客户平价部分
[18:50] 多邪几个评价做一个动画轮波效果
[18:53] 开始
[18:54] 然后我们来到第二个分支
[18:55] 创建一个新的对话
[18:56] 优化一下门电信息部分
[18:58] 让门电信息跟地图上下排列
[19:00] 不要左右排列
[19:02] 把地图展示权
[19:03] 我们在两个分支上面进行病行开发
[19:05] 因为他们为于两个不同的文件墙
[19:08] 所以互相之间不会产生干扰
[19:10] 两个分支在各自的文件墙里面都开发完毕了
[19:13] 接下来我们可以把的核病回主干
[19:15] 这里直接输入核病回主干
[19:17] 两个分支都一样的操作核病回主干
[19:19] 好我们看到两个分枝都成功和并进了主干
[19:22] 我们在柳兰器这边可以看到
[19:24] 客户平时价已经有化过了
[19:26] 门电信息也从左右排步变成了上下排步
[19:29] 地图展示的更全了
[19:30] 这样我们使用Git-Walk最功能
[19:32] 高效并行开发了两个任务
[19:34] 当我们的分枝使用完毕
[19:36] 我们可以直接右键移除
[19:38] 82010的分枝移除掉
[19:39] 然后回到主干继续工作
[19:42] 进来我们来介绍Codex云端运行环境
[19:45] Codex任务除了能在本地也就是
[19:47] 这台电脑上运行
[19:49] 它也可以在云端运行
[19:50] 比如处理文件或者修改代码等等
[19:53] 其中云端运行环境的前提示要先把代码全部同步到
[19:57] 给它不上面
[19:57] 我们在右上角点击推送按钮
[20:00] 点击继续
[20:01] 这样我们所有的代码都同步到了给它不上面
[20:03] 确保了给它不上面的原端代码
[20:05] 跟本地代码是完全一致的
[20:07] 既然来我们在运行模式这里选择
[20:10] 关联Codex Web
[20:11] 也就是把这个项目先出实化成一个
[20:13] 网页板可以用的项目
[20:15] 右上角点击前往靠老的
[20:16] 既然来我们选择代码藏库
[20:18] 这里输项目的名字Pythecare
[20:21] 然后直接在这里输入我们的需求就可以了
[20:23] 比如我想让Codex给亲亡到电日期设置一个默认值
[20:27] 也就是明天早晨的9.半
[20:29] 我让AA把手叶的7.0到电日期设置成明天早晨的9.半开始
[20:34] 在下面可以看到正在直行的任务
[20:36] 我们看到Codex先是出实化了一个云端运行环境
[20:39] 然后把Getap的代码下得进去了
[20:42] 接着它掉用AA功能对整个项目进行分析
[20:45] 然后完成了修改
[20:46] 我们可以点击又上角的按钮
[20:48] 创建拉举请求
[20:49] 然后再点击查看片
[20:51] 刚才的代码改动
[20:52] 就以一个Purucrest形式提交到了
[20:55] 给它不的网站上面
[20:56] 我们可以在这里对它修改的代码进行省盛盒
[20:59] 确认了没问题后在下面点击这个墨执按钮
[21:02] 把代码和并进主干分支
[21:04] 正修改就完成了
[21:05] 我们回到电脑上的本地项目
[21:07] 点击使用VAS Code打开
[21:09] 点击Source Control
[21:11] 这里有一个SOS-1C-10G4点击一下
[21:14] 它的意思是把KTB上面的最新代码同步到本地
[21:17] 然后我们在本地在測試一下
[21:19] 看到这里的期望刀电日期就有默认值了
[21:21] 让我们就使用了KTB的随隐端运行环境完成了一个任务
[21:25] 并且把代码同步到了本地
[21:27] KTB的随隐也是可以用手机打开的
[21:29] 我觉得它最适合的工作场景就是比我们出门在外面手头没有电脑
[21:34] 让它使用隐端运行环境完成工作
[21:37] 我们只需要在手机上进行审批就可以了
[21:39] 每当我们开启一个星对话就进入了一个全新的上下文
[21:44] A-Wan全部记得之前发生了什么
[21:46] 进行过什么样的对话
[21:48] 甚至对于整个项目的记忆都是空白的
[21:50] 当项目变的复杂以后
[21:52] 每次对话都要重新给A-Wan交代一遍项目背景
[21:55] 或者让它自己独戴马自己摸索
[21:57] 这是一种非常低效的工作方式
[21:59] 本张节我们主要介绍两种给Codex增加记忆系统的方式
[22:04] 我们先看第一个通用方法
[22:05] 通用方法就是在項目的跟目錄創建一個Azure MD文件
[22:10] 這個文件在卡拉的扣的Open Code等等其他的Azure的工具裡面也是通用的
[22:16] 這裡我們用VAS Code打開項目
[22:18] 我們來到項目跟目錄幼件新建一個叫做Azure MD文件
